antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Banana', 'Cheese'})",frozenset({'ShavingFoam'}),0.22413793103448276,0.4051724137931034,0.1206896551724138,0.5384615384615384,1.3289689034369885,1.0,0.02987514863258027,1.2887931034482758,0.3190476190476191,0.23728813559322037,0.22408026755852842,0.4181669394435352,"Banana, Cheese",ShavingFoam
"frozenset({'ShavingFoam', 'Cheese'})",frozenset({'Banana'}),0.21336206896551724,0.4482758620689655,0.1206896551724138,0.5656565656565657,1.261849261849262,1.0,0.025044589774078488,1.2702485966319168,0.26379647749510776,0.22310756972111556,0.21275252525252542,0.41744366744366745,"Cheese, ShavingFoam",Banana
"frozenset({'Bacon', 'Hazelnut'})",frozenset({'ShavingFoam'}),0.22198275862068967,0.4051724137931034,0.1206896551724138,0.5436893203883495,1.341871514149969,1.0,0.030748365041617126,1.303558327219369,0.3274633953304314,0.23829787234042554,0.2328690023920079,0.4207808304069407,"Bacon, Hazelnut",ShavingFoam
"frozenset({'Bacon', 'ShavingFoam'})",frozenset({'Hazelnut'}),0.21551724137931033,0.4202586206896552,0.1206896551724138,0.56,1.3325128205128205,1.0,0.03011667657550536,1.3175940438871474,0.3180926216640503,0.23430962343096237,0.24104089219330863,0.4235897435897436,"Bacon, ShavingFoam",Hazelnut
"frozenset({'Hazelnut', 'ShavingFoam'})",frozenset({'Bacon'}),0.19181034482758622,0.43103448275862066,0.1206896551724138,0.6292134831460674,1.4597752808988764,1.0,0.038012782401902506,1.5344827586206897,0.3897142857142858,0.24034334763948503,0.34831460674157305,0.4546067415730337,"Hazelnut, ShavingFoam",Bacon
"frozenset({'Bacon', 'Bread'})",frozenset({'ShavingFoam'}),0.2025862068965517,0.4051724137931034,0.1206896551724138,0.5957446808510639,1.4703485740153919,1.0,0.038607312722948886,1.4714156079854812,0.4011583011583013,0.24778761061946905,0.3203823620104843,0.44680851063829796,"Bacon, Bread",ShavingFoam
"frozenset({'Bacon', 'ShavingFoam'})",frozenset({'Bread'}),0.21551724137931033,0.4073275862068966,0.1206896551724138,0.56,1.374814814814815,1.0,0.032903537455410234,1.3469827586206897,0.34752747252747257,0.24034334763948503,0.25760000000000005,0.42814814814814817,"Bacon, ShavingFoam",Bread
"frozenset({'Bread', 'ShavingFoam'})",frozenset({'Bacon'}),0.1853448275862069,0.43103448275862066,0.1206896551724138,0.6511627906976745,1.510697674418605,1.0,0.04079964328180738,1.631034482758621,0.4149659863945579,0.24347826086956523,0.3868921775898521,0.46558139534883725,"Bread, ShavingFoam",Bacon
frozenset({'HeavyCream'}),frozenset({'Salt'}),0.41594827586206895,0.39870689655172414,0.20689655172413793,0.49740932642487046,1.2475563646548102,1.0,0.041055105529132,1.196387308922858,0.33975246002460036,0.34042553191489355,0.16415027763849424,0.5081641226718947,HeavyCream,Salt
frozenset({'Salt'}),frozenset({'HeavyCream'}),0.39870689655172414,0.41594827586206895,0.20689655172413793,0.518918918918919,1.2475563646548105,1.0,0.041055105529132,1.214040100736149,0.33001045400238965,0.34042553191489355,0.17630397925600885,0.5081641226718947,Salt,HeavyCream
frozenset({'Salt'}),frozenset({'Cheese'}),0.39870689655172414,0.44396551724137934,0.20043103448275862,0.5027027027027027,1.132301233272107,1.0,0.02341892092746728,1.1181128185907045,0.19431918911627533,0.3120805369127517,0.10563586842656601,0.4770795066911572,Salt,Cheese
frozenset({'Cheese'}),frozenset({'Salt'}),0.44396551724137934,0.39870689655172414,0.20043103448275862,0.4514563106796116,1.132301233272107,1.0,0.02341892092746728,1.0961626487641134,0.2101358673001582,0.3120805369127517,0.08772662421268741,0.4770795066911572,Cheese,Salt
frozenset({'Banana'}),frozenset({'Salt'}),0.4482758620689655,0.39870689655172414,0.1939655172413793,0.4326923076923077,1.0852390852390852,1.0,0.015234839476813311,1.059906487434249,0.14236111111111105,0.297029702970297,0.05652054039150816,0.45958939708939706,Banana,Salt
frozenset({'Salt'}),frozenset({'Banana'}),0.39870689655172414,0.4482758620689655,0.1939655172413793,0.48648648648648646,1.0852390852390852,1.0,0.015234839476813311,1.0744101633393828,0.13062524890481877,0.297029702970297,0.06925675675675669,0.45958939708939706,Salt,Banana
frozenset({'Salt'}),frozenset({'ShavingFoam'}),0.39870689655172414,0.4051724137931034,0.1875,0.47027027027027024,1.1606670500287521,1.0,0.025954964328180757,1.1228888106966926,0.23021464178305132,0.30419580419580416,0.10943987465726594,0.46651811385853936,Salt,ShavingFoam
frozenset({'ShavingFoam'}),frozenset({'Salt'}),0.4051724137931034,0.39870689655172414,0.1875,0.46276595744680854,1.1606670500287521,1.0,0.025954964328180757,1.1192386480027314,0.23271697484591056,0.30419580419580416,0.10653549912300775,0.46651811385853936,ShavingFoam,Salt
